file,table,column,type,issues,nulls/total,samples
src/main/resources/TorinoCentre/TorinoCentre_censusData.gpkg,TorinoCentre_censusData,fid,INTEGER,OK,0/3988,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20
src/main/resources/TorinoCentre/TorinoCentre_censusData.gpkg,TorinoCentre_censusData,SEZ21_ID,REAL,OK,0/3988,12720005997.0 | 12720005987.0 | 12720005989.0 | 12720005978.0 | 12720005969.0 | 12720005973.0 | 12720005896.0 | 12720005898.0 | 12720005900.0 | 12720005899.0 | 12720005890.0 | 12720005892.0 | 12720005880.0 | 12720005871.0 | 12720005874.0 | 12720005873.0 | 12720005876.0 | 12720005878.0 | 12720005933.0 | 12720005922.0
src/main/resources/TorinoCentre/TorinoCentre_censusData.gpkg,TorinoCentre_censusData,zone_residence_pct,REAL,OK,0/3988,2.3624828277029462e-05 | 4.961213938176187e-05 | 3.5437242415544193e-06 | 0.00140331479965555 | 0.0001358427625929194 | 1.889986262162357e-05 | 0.0002445169726672549 | 3.5437242415544193e-06 | 2.362482827702946e-06 | 8.150565755575164e-05 | 1.181241413851473e-06 | 2.4806069690880934e-05 | 1.7718621207772097e-05 | 1.0631172724663257e-05 | 4.843089796791039e-05 | 0.00028349793932435356 | 3.5437242415544193e-06 | 1.2993655552366203e-05 | 1.2993655552366203e-05 | 2.1262345449326514e-05
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,fid,INTEGER,OK,0/8751,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,key,TEXT,OK,0/8751,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,name,TEXT,OK,0/8751,Via Antonio Fontanesi | Corso Cairoli | Corso Vercelli | Via delle Orfane | Via Moncrivello | Via Giorgio Ghedini | Largo Montebello | Via Gioachino Rossini | Via Montebello | Corso Belgio | Largo Maresciallo Rosario Berardi | Via Montebello | Via Lorenzo Martini | Piazza Santa Giulia | Lungo Dora Siena | Via Carlo Denina | Via Gianfrancesco Fiochetto | Via Carlo Goldoni | Corso Germano Sommeiller | Via della Rocca
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,highway,TEXT,OK,0/8751,tertiary | secondary | unclassified | residential | residential | residential | residential | residential | residential | secondary | secondary | residential | residential | residential | tertiary | residential | residential | residential | secondary | residential
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,lit,MEDIUMINT,OK,0/8751,1 | 1 | 1 | 1 | 9999 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 9999 | 1 | 9999 | 9999 | 1 | 1
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,edgeID,MEDIUMINT,OK,0/8751,0 | 1 | 2 | 3 | 4 | 5 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,length,REAL,OK,0/8751,36.40670048139719 | 122.17492471053899 | 84.1329033883774 | 94.10960376415106 | 197.19079061381245 | 147.9035342214718 | 47.4037471846541 | 58.701453882006426 | 48.329393169300054 | 23.461567648272535 | 16.383020018583707 | 13.478843561124096 | 75.60807533342033 | 104.25557133044427 | 15.826817337673145 | 17.215225937866798 | 117.6666917337023 | 109.28875984332184 | 144.75555201035056 | 184.33143512335903
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,u,MEDIUMINT,OK,0/8751,4063 | 3282 | 2825 | 2435 | 4371 | 4578 | 3704 | 3542 | 3706 | 4085 | 4076 | 3310 | 3525 | 3868 | 3351 | 3339 | 3181 | 3348 | 1515 | 3088
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,v,MEDIUMINT,OK,0/8751,4065 | 3479 | 2826 | 2434 | 4566 | 4574 | 3706 | 3541 | 3708 | 4089 | 4079 | 3311 | 3700 | 3864 | 3350 | 3340 | 2995 | 3347 | 1733 | 3090
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,bridge,BOOLEAN,OK,0/8751,0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,a_rivers,TEXT,OK,0/8751,[] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [1539] | [] | [] | [] | [] | []
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,w_parks,TEXT,OK,0/8751,[] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | []
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,p_barr,TEXT,OK,0/8751,[] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [1539] | [] | [] | [] | [] | []
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,n_barr,TEXT,OK,0/8751,[] | [] | [] | [] | [] | [] | [] | [] | [] | [] | [265] | [] | [] | [] | [] | [] | [] | [] | [1581] | []
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,sep_barr,BOOLEAN,OK,0/8751,0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,p_bool,BOOLEAN,OK,0/8751,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0
src/main/resources/TorinoCentre/TorinoCentre_edges.gpkg,TorinoCentre_edges,lit_m,MEDIUMINT,OK,0/8751,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
src/main/resources/TorinoCentre/TorinoCentre_edgesDual.gpkg,TorinoCentre_edgesDual_graph,fid,INTEGER,OK,0/24856,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20
src/main/resources/TorinoCentre/TorinoCentre_edgesDual.gpkg,TorinoCentre_edgesDual_graph,u,TEXT,OK,0/24856,0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 2 | 2 | 2 | 2 | 2 | 2 | 3 | 3
src/main/resources/TorinoCentre/TorinoCentre_edgesDual.gpkg,TorinoCentre_edgesDual_graph,v,TEXT,OK,0/24856,672 | 703 | 704 | 1617 | 3325 | 9605 | 21 | 1053 | 3087 | 5120 | 6191 | 10620 | 2800 | 3765 | 4227 | 4415 | 6155 | 9441 | 1529 | 2388
src/main/resources/TorinoCentre/TorinoCentre_edgesDual.gpkg,TorinoCentre_edgesDual_graph,length,REAL,OK,0/24856,28.329249308028817 | 24.956631122526932 | 25.89923473015434 | 32.43073798368192 | 24.423291531098894 | 25.23636583167355 | 72.20280602214979 | 79.23973083762104 | 98.3220611441754 | 83.31608603787382 | 75.70897697961325 | 72.13321426978315 | 121.19518156307883 | 156.6397773951284 | 82.57670374438541 | 60.552862363850636 | 135.3207453668 | 69.49593600487535 | 113.12654690575843 | 104.71032452943129
src/main/resources/TorinoCentre/TorinoCentre_edgesDual.gpkg,TorinoCentre_edgesDual_graph,deg,REAL,OK,0/24856,73.8448567019913 | 105.83294496644135 | 4.3878579880697 | 106.02726915785517 | 0.6430882256870112 | 75.14894883692983 | 77.99472144695419 | 145.45125971720975 | 10.632276272110245 | 8.48841381501732 | 96.69082305514682 | 77.99472144695419 | 110.3692009636543 | 117.32964935233825 | 2.0318085543897557 | 1.2883697743655973 | 67.86900650421737 | 62.40809141647014 | 88.03877780222822 | 92.94597063041617
src/main/resources/TorinoCentre/TorinoCentre_nodes.gpkg,TorinoCentre_nodes,fid,INTEGER,OK,0/4792,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20
src/main/resources/TorinoCentre/TorinoCentre_nodes.gpkg,TorinoCentre_nodes,x,REAL,OK,0/4792,1394031.979176856 | 1394038.079191472 | 1394043.4090113144 | 1394003.0790151686 | 1393937.5608501222 | 1394124.3426165553 | 1394085.3386443246 | 1394103.1642276074 | 1394026.4332587982 | 1394141.1500702044 | 1394046.7608638087 | 1394064.6413164253 | 1394070.5377768397 | 1394054.7563341262 | 1394019.303884286 | 1394189.6539676776 | 1394188.4173027454 | 1394110.0235207363 | 1394068.534676129 | 1394112.0210191533
src/main/resources/TorinoCentre/TorinoCentre_nodes.gpkg,TorinoCentre_nodes,y,REAL,OK,0/4792,4989377.4633497065 | 4989391.863196156 | 4989400.686465023 | 4989416.409376348 | 4989487.521735706 | 4989553.621449195 | 4989560.848169207 | 4989561.818611202 | 4989577.262516721 | 4989580.066761353 | 4989602.693393165 | 4989617.864093741 | 4989627.144667116 | 4989627.829367427 | 4989638.286632444 | 4989684.792640035 | 4989756.905412805 | 4989765.967453443 | 4989781.414147192 | 4989784.258126919
src/main/resources/TorinoCentre/TorinoCentre_nodes.gpkg,TorinoCentre_nodes,nodeID,MEDIUMINT,OK,0/4792,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19
src/main/resources/TorinoCentre/TorinoCentre_nodes.gpkg,TorinoCentre_nodes,Bc_Rd,REAL,OK,0/4792,0.0 | 5947.0 | 7715.0 | 183.0 | 149.0 | 36267.0 | 15216.0 | 19949.0 | 8454.0 | 40991.0 | 2839.0 | 4009.0 | 13374.0 | 86.0 | 24.0 | 90728.0 | 107458.0 | 35788.0 | 9514.0 | 12906.0
src/main/resources/TorinoCentre/TorinoCentre_nodes.gpkg,TorinoCentre_nodes,p_rad,MEDIUMINT,OK,0/4792,16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16
src/main/resources/TorinoCentre/TorinoCentre_nodes.gpkg,TorinoCentre_nodes,gateway,MEDIUMINT,OK,0/4792,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1
src/main/resources/TorinoCentre/TorinoCentre_nodes.gpkg,TorinoCentre_nodes,district,MEDIUMINT,OK,0/4792,16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16
src/main/resources/TorinoCentre/TorinoCentre_nodesDual.gpkg,TorinoCentre_nodesDual_graph,fid,INTEGER,OK,0/8751,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20
src/main/resources/TorinoCentre/TorinoCentre_nodesDual.gpkg,TorinoCentre_nodesDual_graph,key,TEXT,OK,0/8751,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
