step,datetime,meters_to_allocate,meters_adjusted,agents_released
216.000000,1970-01-04T00:00,78792.5950,39396.2975,20
217.000000,1970-01-04T00:20,73971.0965,26494.6820,13
218.000000,1970-01-04T00:40,69213.1305,14385.4818,6
219.000000,1970-01-04T01:00,64575.9188,-4174.4193,0
220.000000,1970-01-04T01:20,60109.0028,-25548.9508,0
221.000000,1970-01-04T01:40,55853.6752,-56950.5301,0
222.000000,1970-01-04T02:00,51842.7377,-107101.9608,0
223.000000,1970-01-04T02:20,48100.5628,-146921.1641,0
224.000000,1970-01-04T02:40,44643.4244,-189898.9395,0
225.000000,1970-01-04T03:00,41480.0695,-244447.6931,0
226.000000,1970-01-04T03:20,38612.5424,-297051.0449,0
227.000000,1970-01-04T03:40,36037.4836,-349790.7124,0
228.000000,1970-01-04T04:00,33748.8529,-409131.6391,0
229.000000,1970-01-04T04:20,31745.1731,-458381.4925,0
230.000000,1970-01-04T04:40,30049.4242,-500498.7087,0
231.000000,1970-01-04T05:00,28758.4191,-547707.5466,0
232.000000,1970-01-04T05:20,28146.3567,-592192.8767,0
233.000000,1970-01-04T05:40,28837.3812,-632732.9367,0
234.000000,1970-01-04T06:00,32005.2561,-677534.2177,0
235.000000,1970-01-04T06:20,39441.2698,-716371.2723,0
236.000000,1970-01-04T06:40,53216.0348,-736421.0984,0
237.000000,1970-01-04T07:00,74714.9990,-747368.3482,0
238.000000,1970-01-04T07:20,103213.3155,-739991.3217,0
239.000000,1970-01-04T07:40,134764.6047,-716540.5344,0
240.000000,1970-01-04T08:00,162488.6065,-679867.5464,0
241.000000,1970-01-04T08:20,178776.7070,-624964.7750,0
242.000000,1970-01-04T08:40,178587.7188,-566399.4706,0
243.000000,1970-01-04T09:00,161912.7654,-525243.7676,0
244.000000,1970-01-04T09:20,133775.1681,-487599.6944,0
245.000000,1970-01-04T09:40,101765.3429,-456630.6994,0
246.000000,1970-01-04T10:00,72744.8324,-435613.4662,0
247.000000,1970-01-04T10:20,50640.6839,-424823.9040,0
248.000000,1970-01-04T10:40,36158.9528,-415542.1039,0
249.000000,1970-01-04T11:00,27915.7550,-406585.1561,0
250.000000,1970-01-04T11:20,24051.2164,-396322.8601,0
251.000000,1970-01-04T11:40,24182.6980,-384231.5111,0
252.000000,1970-01-04T12:00,31966.6283,-368248.1970,0
253.000000,1970-01-04T12:20,53683.8902,-341406.2519,0
254.000000,1970-01-04T12:40,84645.4931,-299083.5054,0
255.000000,1970-01-04T13:00,100500.9873,-248833.0117,0
256.000000,1970-01-04T13:20,84637.2509,-206514.3862,0
257.000000,1970-01-04T13:40,53666.5429,-179681.1148,0
258.000000,1970-01-04T14:00,31938.3873,-163711.9212,0
259.000000,1970-01-04T14:20,24140.7255,-151641.5584,0
260.000000,1970-01-04T14:40,23991.4566,-139645.8301,0
261.000000,1970-01-04T15:00,27832.8157,-125729.4223,0
262.000000,1970-01-04T15:20,36046.4470,-107706.1988,0
263.000000,1970-01-04T15:40,50493.5287,-82459.4344,0
264.000000,1970-01-04T16:00,72568.1196,-46175.3746,0
265.000000,1970-01-04T16:20,101601.6769,4625.4638,2
266.000000,1970-01-04T16:40,133775.3208,71498.2389,37
267.000000,1970-01-04T17:00,162488.7054,150709.5003,80
268.000000,1970-01-04T17:20,180683.5603,207477.2288,109
269.000000,1970-01-04T17:40,184236.6263,212993.2119,112
270.000000,1970-01-04T18:00,174365.6798,169167.9215,85
271.000000,1970-01-04T18:20,157245.6784,101263.8870,54
272.000000,1970-01-04T18:40,140792.0466,47777.1524,26
273.000000,1970-01-04T19:00,130524.9801,28070.0854,15
274.000000,1970-01-04T19:20,127041.9789,44891.5952,24
275.000000,1970-01-04T19:40,126483.8202,83316.2009,46
276.000000,1970-01-04T20:00,123412.6949,117254.3868,57
277.000000,1970-01-04T20:20,118958.3670,125732.1636,64
278.000000,1970-01-04T20:40,116151.6278,113423.4520,61
279.000000,1970-01-04T21:00,113818.4936,89053.7153,49
280.000000,1970-01-04T21:20,111347.4413,62970.7689,33
281.000000,1970-01-04T21:40,108489.2365,47410.4741,26
282.000000,1970-01-04T22:00,105183.6059,49439.2285,27
283.000000,1970-01-04T22:20,101454.7024,62406.1419,33
284.000000,1970-01-04T22:40,97360.6002,75850.5623,41
285.000000,1970-01-04T23:00,92972.1840,81352.8433,42
286.000000,1970-01-04T23:20,88364.6634,75040.9878,38
287.000000,1970-01-04T23:40,83613.6290,61872.4154,32
