ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
068000000140,halmajtd,,,Co-op,,Hale Road,,Liverpool Road,,Hale Road,,,,adj,,NE,E0037819,Ditton,Widnes,,Widnes,EN,Ditton,EN,false,UKOS,349784,386199,-2.75618,53.37025,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2020-11-10T15:21:25,10,new,active
068000000233,haladmpj,,,Sundowner,,Sundowner,,Sundowner,,Arley Drive,,,,,,W,E0037826,Hough Green,Widnes,,Widnes,EN,Hough Green,EN,false,UKOS,348643,386750,-2.77342,53.3751,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2020-11-10T16:11:10,8,new,active
068000000702,halagdmg,,,Halton Lea South,,Halton Lea South,,Halton Lea South,,Busway,,,,,,W,N0065331,Palace Fields,Runcorn,,Runcorn,EN,Palace Fields,EN,false,UKOS,353562,381311,-2.69868,53.32667,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2024-09-25T13:53:02,0,new,active
068000000188,,,,Queensbury Way,,,,,,,,,,,,N,E0037851,Upton Rocks,Widnes,,,,,,false,UKOS,350240,388095,-2.74963,53.38734,BCT,MKD,OTH,,,,021,2024-11-07T00:00:00,2024-11-07T10:59:35,41,new,active
068000000189,,,,Queensbury Way,,,,,,,,,,,,S,E0037851,Upton Rocks,Widnes,,,,,,false,UKOS,350241,388177,-2.74962,53.38808,BCT,MKD,OTH,,,,021,2024-11-07T00:00:00,2024-11-07T10:59:49,39,new,active
0680TX000005,,,,CRONTON ROAD,,CRONTON ROAD,,CRONTON ROAD,,Cronton Road,,,,,,,E0037851,Upton Rocks,Widnes,,Widnes,EN,Upton Rocks,EN,false,UKOS,350666,388383,-2.74327,53.38997,TXR,,,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
0680TX000014,,,,CRONTON ROAD,,CRONTON ROAD,,CRONTON ROAD,,Cronton Road,,,,,,,E0037851,Upton Rocks,Widnes,,Widnes,EN,Upton Rocks,EN,false,UKOS,350666,388383,-2.74327,53.38997,TXR,,,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
0680TX000001,,,,HIGH STREET,,HIGH STREET,,HIGH STREET,,High Street,,,,,,,E0037841,Runcorn,,,Runcorn,EN,Runcorn,EN,false,UKOS,351273,382983,-2.73331,53.34149,TXR,,,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
0680TX000010,,,,HIGH STREET,,HIGH STREET,,HIGH STREET,,High Street,,,,,,,E0037841,Runcorn,,,Runcorn,EN,Runcorn,EN,false,UKOS,351273,382983,-2.73331,53.34149,TXR,,,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
0680TX000002,,,,HALTON LEA,,HALTON LEA,,HALTON LEA,,Halton Lea,,,,,,,N0065331,Palace Fields,Runcorn,,Runcorn,EN,Palace Fields,EN,false,UKOS,353668,381539,-2.69713,53.32873,TXR,,,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
