"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","FQ1","WB1","WB2[SQ001]","WB2[SQ002]","WB2[SQ003]","WB2[SQ004]","WB2[SQ005]","WB2[SQ006]","WB3[SQ001]","WB3[SQ002]","WB4[SQ001]","WB4[SQ002]","WB4[SQ003]","WB4[SQ004]","VD000a","VD000","VD001","VD002003","VD004003","VD005013011","VD006","VD008","VD007","VD009","VD010011","VD012013011","VD018","VD014","VD019","VD017021","VD020021","VD015","VD016","VD022","VD099[SQ001]","VD100a","VD100","VD121","VD154","VD101","VD122","VD155156","VD109156","VD159","VD123124125","VD115124125","VD130","VD131","VD102","VD111","VD110","VD114144102","VD144102","VD112","VD113125","VD116120","VD135145","VD134145","VD150a151152","VD150b126","VD126","VD141142152","VD151152","VD127","VD128","VD140142152","VD129","VD118120","VD103104","VD107108104","VD138167","VD136","VD166136","VD165147","VD143147","VD146133","VD132133","VD149106","VD148","VD105153106","VD117153106","VD199[SQ001]","VD200a","VD200","VD201","VD216205206","VD202","VD203","VD204205206","VD220221222","VD207","VD213","VD214221222","VD219222","VD215206","VD223210","VD208209210","VD224225212209210","VD226","VD227212209210","VD218225212209210","VD217","VD211","VD299[SQ001]","SP1","SP2","SP3","SP4[SQ002]","SP4[SQ006]","SP4[SQ001]","SP4[SQ003]","SP4[SQ004]","SP4[SQ005]","SP4[SQ007]","PD1","PD2","PD3[SQ001]","PD3[SQ002]","PD3[SQ003]","PD3[SQ004]","PD3[SQ005]","PD4[SQ001]","PD4[SQ002]","PD5","D3"
"9","2021-02-03 13:23:25","104","de","60454279","2021-02-03 12:50:26","2021-02-03 13:23:25","","5","A2","A3","A4","A4","A3","A3","A4","A3","A4","A4","A5","A5","Y","A2","","","A2","","","","","A2","","","A2","A2","","","","","","","A1","Y","A1","A1","A3","","","A2","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A1","Y","A2","A1","A1","","","","","","","","","","","","","","","","","","A1","A3","A2","A3","A3","A3","A4","A3","A3","A2","A3","A2","22","","","Y","","","3","20","A23","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de  1612355005  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"10","2021-02-03 13:15:59","104","de","756855521","2021-02-03 12:54:32","2021-02-03 13:15:59","","3","A1","A1","A1","A3","A2","A3","A1","A1","A5","A3","A4","A4","Y","A2","","","A1","A1","","","","","","","","","","","A2","","","","A2","Y","A2","","","A2","","","","","","","A1","","","A2","","","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A1","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A1","A3","A2","A2","A4","A4","A4","A1","A1","A4","A4","A1","21","","","Y","","","8","19","A24","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de  1612354559  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"13","2021-02-03 14:43:00","103","de","","2021-02-03 13:53:00","2021-02-03 14:16:00","","2","A1","A1","A4","A1","A1","A4","A3","A3","A5","A4","A5","A5","Y","A1","A1","","","","A1","","A2","","","A2","","A2","","","","","","","A1","Y","A1","A1","A3","","","A2","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A4","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A2","A3","A3","A2","A2","A1","A2","A4","A4","A3","A1","A1","22","","Y","Y","","","","22","A19","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de  1612358198  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"14","2021-02-03 14:50:00","103","de","","2021-02-03 13:54:00","2021-02-03 14:42:00","","4","A1","A5","A3","A2","A2","A3","A5","A4","A3","A3","A4","A4","N","A2","","","A1","A2","","","","","","","","A2","","","","","","","A4","N","A1","A1","A2","","","","","","","A2","","","","","","","","","","","","","","","A2","","","A2","","","","A2","","A1","","","A1","A2","","","","","","","","A5","Y","A2","A1","A1","","","","","","","","","","","","","","","","","","A5","A2","A2","A1","A4","A4","A5","A3","A2","A2","A1","A1","21","","","Y","Y","","0","17","A19","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de  1612359762  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"15","2021-02-03 15:08:15","104","de","296726432","2021-02-03 14:34:55","2021-02-03 15:08:15","","2","A3","A3","A3","A3","A2","A4","A4","A3","A4","A4","A5","A4","N","A1","A2","A2","","","","","","A2","","","A2","A1","A1","","","","","","A4","Y","A2","","","A1","A2","","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A4","Y","A2","A2","","A1","A2","","A2","","","","","","A2","","","","","","","","A4","A3","A3","A3","A4","A4","A4","A4","A4","A4","A4","A2","22","","Y","","Y","Y","0","0","","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de  1612361295  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"17","2021-02-03 15:06:11","104","de","473606617","2021-02-03 14:41:28","2021-02-03 15:06:11","","4","A3","A3","A4","A3","A5","A5","A3","A3","A4","A3","A2","A4","N","A1","A2","A2","","","","","","A1","A2","","","A1","A1","","","","","","A6","Y","A2","","","A1","A2","","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A4","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A2","A3","A2","A3","A3","A2","A3","A3","A2","A4","A4","A2","21","","","Y","Y","","9","1","A22","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de  1612361171  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"18","2021-02-03 15:06:23","104","de","552389503","2021-02-03 14:51:51","2021-02-03 15:06:23","","4","A4","A4","A4","A2","A2","A3","A4","A3","A4","A4","A5","A4","N","A1","A1","","","","A2","A1","","","","","","","","","","","","","A4","N","A1","A1","A3","","","A2","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A4","Y","A2","A2","","A2","","","","","","","","","","","A2","","","","","","A4","A3","A3","A3","A3","A3","A4","A4","A5","A4","A3","A2","21","","Y","","","","","8","","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de.     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612361183  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"19","2021-02-03 15:56:44","104","de","1487274962","2021-02-03 15:30:24","2021-02-03 15:56:44","","7","A2","A1","A4","A4","A4","A2","A1","A1","A5","A5","A4","A5","Y","A1","A1","","","","A1","","A1","","","","","","","A1","","","","","A2","Y","A1","A1","A3","","","A2","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A2","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A2","A3","A3","A3","A3","A2","A4","A4","A4","A3","A5","A1","30","","","Y","","","","30","A29","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de.     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612364204  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"20","2021-02-03 17:50:06","104","de","1384475794","2021-02-03 16:28:22","2021-02-03 17:50:06","","4","A3","A2","A3","A5","A4","A4","A4","A3","A4","A4","A4","A4","Y","A2","","","A1","A1","","","","","","","","","","","A2","","","","A4","Y","A1","A1","A2","","","","","","","A2","","","","","","","","","","","","","","","A2","","","A1","A2","","A1","","","","A2","A2","","","","","","","","","","A4","Y","A2","A2","","A3","","","","A2","","","","","","A2","","","","","","","A4","A3","A3","A2","A3","A2","A2","A2","A2","A3","A2","A1","22","","Y","Y","Y","","6","22","A19","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de.     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612371006  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"22","2021-02-03 19:09:19","104","de","871223606","2021-02-03 18:16:57","2021-02-03 19:09:19","","5","A1","A1","A2","A4","A2","A2","A2","A2","A5","A5","A4","A4","Y","A2","","","A1","A2","","","","","","","","A1","A1","","","","","","A2","Y","A1","A1","A2","","","","","","","A2","","","","","","","","","","","","","","","A2","","","A2","","","","A2","","A2","","","","","","","","","","","","A5","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A2","A3","A3","A3","A3","A3","A3","A4","A4","A5","A3","A1","62","","","Y","","","","40","A19","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de.     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612375759  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
