,D,routeChoic,O,routeID,length,video
0,11379,"DS,AG,DRB,TS,DR,AL,DL,AR,ALG,ARB,AC",4229,0,151.2641455124487,001
1,11379,"DLG,DG",4229,0,478.0583321770248,004
2,11379,"DS,AG,DRB,DR,AL,DL,AR,ALG,ARB,AC",4229,0,97.43938922704746,006
3,11379,"AG,DL,AR,ALG,ARB,AC",4229,0,241.70415301879993,007
4,11379,"AG,DL,ALG,AC",4229,0,105.06921947684164,012
5,11379,"AG,AL,DL,DLG,ALG,AC",4229,0,110.58297135901725,013
6,11379,"DS,AG,DRB,TS,DR,AL,DL,DLG,ALG,AC",4229,0,87.91828703626567,011
7,11379,"AG,AL,ALG,AC",4229,0,229.4740899002325,014
8,11379,AC,4229,0,849.7761482360038,015
9,11379,"DRB,DR,AL,DS",4229,0,253.6981142338823,008
10,11379,"DRB,DG,DR,DS, TS",4229,0,84.56939107447195,009
11,11379,"DRB,TS,DR,DS",4229,0,88.06293385890051,010
12,11379,"DRB,DG,TS,DR,DL,DLG,DS",4229,0,118.77420520854126,020
13,11379,"DRB,DG,TS,DR,DL,AR,DLG,ARB,DS",4229,0,161.20417812107695,021
14,11379,"DRB,DG,TS,DR,AR,ARB,DS",4229,0,8.319546981576838,022
15,11379,"AG,DRB,DG,TS,DR,AL,AR,ALG,ARB,DS",4229,0,375.5415062120304,022
16,11379,"AL,ALG,AG",4229,0,207.36115821342827,019
17,11379,"TS,DLG,DG",4229,0,103.3363905800721,003
18,11379,DG,4229,0,183.52667282730488,018
19,11379,TS,4229,0,293.56510402311153,002
20,11379,"DLG,AL",4229,0,121.13265943252811,005
21,11379,"DLG,DL",4229,0,511.8764785584567,016
22,11379,"ARB,AR",4229,0,560.0372903449885,017
23,5157,"ARB,AR,DR,DRB,ALG,DG,DS,DL,AG,AL,DLG,AC,TS",2797,1,95.77920607728127,100
24,5157,not,2797,1,269.88698078624583,155
25,5157,not,2797,1,70.8438418312701,165
26,5157,not,2797,1,44.919594553004494,136
27,5157,not,2797,1,72.06481994739775,131a
28,5157,"ARB,AR,DR,DRB,ALG,AL,TS",2797,1,223.3566061831325,121
29,5157,TS,2797,1,355.1227678883459,109
30,5157,TS,2797,1,79.0355358896137,156
31,5157,"DG,TS",2797,1,363.1703726490698,102
32,5157,TS,2797,1,286.8730172523508,103
33,5157,"ARB,AR,DR,DRB,DS,TS",2797,1,172.643704031386,104
34,5157,"DR,DRB,DS,TS",2797,1,103.21492395511568,105
35,5157,"ARB,AR,DR,DRB,DS,TS",2797,1,99.61247198412315,153
36,5157,"ARB,AR,DR,DRB,DS,DL,DLG,TS",2797,1,102.83985316761357,106
37,5157,"AR,DR,DRB,ALG,ARB,AL",2797,1,108.13995232603779,154
38,5157,"AR,DR,DRB,ARB",2797,1,516.5581236643804,115
39,5157,"AR,DR,DRB,DS,DL,ARB",2797,1,86.70577110518768,124
40,5157,ARB,2797,1,324.75225912183924,116
41,5157,"DRB,ARB",2797,1,172.3449751746472,120
42,5157,ARB,2797,1,188.484934262989,138
43,5157,ARB,2797,1,208.8348502380628,
44,5157,"AR,DR,DRB,DS,ARB",2797,1,65.25749413792565,108
45,5157,"AR,ARB",2797,1,64.61433154830846,166
46,5157,"AR,ARB",2797,1,72.69759911974307,136
47,5157,"AR,ARB",2797,1,68.91256506694506,117
48,5157,"DR,DRB,DS,DL,DLG,AR",2797,1,151.0615480220955,125
49,5157,"DR,DRB,ALG,DS,DL,AL,AR",2797,1,59.664882145365446,126
50,5157,"DR,DRB,ALG,DS,AL,AR",2797,1,97.32622342174183,127
51,5157,"DR,ALG,DS,AL,AR",2797,1,80.61550848327063,128
52,5157,DRB,2797,1,136.56854111113773,118
53,5157,"DS,DRB,DR,AR",2797,1,165.2313355896169,107
54,5157,"ALG, AL",2797,1,316.0975879960742,159
55,5157,ALG,2797,1,979.6183470994158,134
56,5157,"AL,ALG",2797,1,169.63171935141733,145
57,5157,"AL,ALG",2797,1,110.94594430026685,150b
58,5157,"AL,ALG",2797,1,53.330356989516815,140
59,5157,"DL,AL,ALG",2797,1,155.78776070003954,142
60,5157,"DL,AL,DLG,ALG",2797,1,372.95130747984075,152
61,5157,ARB,2797,1,113.49993748368007,167
62,5157,"DL,AL,DLG,ALG",2797,1,165.8538888518024,143
63,5157,"DL,AL,DLG,ALG",2797,1,95.54805340748152,147
64,5157,"AL,ALG",2797,1,276.3266718854489,148
65,5157,"DS,DL,AG,DLG,AC,DG",2797,1,335.0932811496402,101
66,5157,"DS,DL,DG",2797,1,147.8001409231197,122
67,5157,"DG,TS",2797,1,427.03730782763654,144
68,5157,DG,2797,1,449.51914261140956,146
69,5157,"AG,AC,DG",2797,1,161.28329024801872,133
70,5157,"DL,DS",2797,1,226.84616169113377,123
71,5157,"DS,DR,AR",2797,1,136.78328662945597,129
72,5157,DL,2797,1,191.4633948864936,141
73,5157,"DLG,DL",2797,1,132.70745241307748,149
74,5157,"AC,AG",2797,1,424.8643315767295,131
75,5157,"AC,AG",2797,1,1032.329699286421,132
76,5157,AL,2797,1,485.26277056216173,135
