"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"229948E","0","0","0","0","0","1","0","20260620","20261219"
"229966E","0","0","0","0","0","0","1","20260621","20261227"
"229971E","0","0","0","0","0","1","0","20260620","20261219"
"229998E","1","1","1","1","1","0","0","20260619","20260909"
"230012E","0","0","0","0","0","1","0","20260620","20261219"
"230018E","0","0","0","0","0","1","0","20260808","20260829"
"230044E","0","0","0","0","0","1","0","20260620","20261219"
"230045E","0","0","0","0","0","1","0","20260620","20261219"
"230053E","1","0","0","0","0","0","0","20260622","20261228"
"230054E","1","0","0","0","0","0","0","20260706","20260831"
"230056E","0","0","0","1","0","0","0","20260625","20261231"
"230057E","0","0","0","0","1","0","0","20260619","20261218"
"230060U","0","0","0","0","0","1","1","20260620","20261227"
"230061E","1","1","1","1","1","1","0","20260803","20260829"
"230062E","1","1","1","1","1","1","0","20260803","20260829"
"230077E","1","1","1","1","1","0","0","20260803","20260828"
"230078E","1","1","1","1","1","0","0","20260803","20260828"
"230079E","1","1","1","1","1","0","0","20260803","20260828"
"230097E","0","0","0","0","0","1","0","20260620","20261219"
"230114E","0","0","0","0","0","0","1","20260705","20260830"
"230120E","1","1","1","1","1","1","1","20260803","20260830"
"230121E","0","0","0","0","0","0","0","20261225","20261225"
"230122E","0","0","0","0","0","0","0","20261225","20261225"
"230123E","0","0","0","0","0","1","0","20260620","20261219"
"230124E","0","0","0","0","0","1","0","20260620","20261219"
"230127E","0","0","0","0","0","1","0","20260620","20261219"
"230129E","0","0","0","0","0","1","0","20260620","20261219"
"230131E","1","0","0","0","0","0","0","20260622","20261228"
"230132E","1","0","0","0","0","0","0","20260622","20261228"
"230136E","0","0","0","1","0","0","0","20260625","20261231"
"230162E","1","1","1","1","1","0","0","20260803","20260828"
"230180E","0","0","0","0","0","1","0","20260620","20261219"
"230184E","0","0","0","0","0","1","0","20260808","20260829"
"230185E","0","0","0","0","0","1","0","20260808","20260829"
"230186E","0","0","0","0","0","1","0","20260808","20260829"
"230205E","0","0","0","0","0","1","0","20260620","20261219"
"230252E","0","0","0","0","0","1","0","20260620","20261219"
"230257E","0","0","0","0","0","1","0","20260620","20261219"
"230270E","1","0","0","0","0","0","0","20260622","20261228"
"230271E","0","0","0","0","0","0","0","20261225","20261225"
"230273E","0","0","0","0","0","0","0","20261225","20261225"
"230276E","0","0","0","0","0","1","0","20260620","20261219"
"230277E","0","0","0","0","0","1","0","20260620","20261219"
"230283E","1","0","0","0","0","0","0","20260622","20261228"
"230290E","1","1","1","1","1","1","0","20260803","20260829"
"230310E","1","1","1","1","1","0","0","20260803","20260828"
"230311E","1","1","1","1","1","0","0","20260803","20260828"
"230312E","1","1","1","1","1","0","0","20260803","20260828"
