"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"METROU","U","M1","metropolitana, stazione Fermi (Collegno) - stazione Bengasi","STAZIONE BENGASI M1 -- STAZIONE FERMI M1 (COLLEGNO)","1","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=METRO&Regol=GE","FF0000","FFFFFF","1"
"4U","U","4","via delle Querce - strada del Drosso","STR.DEL DROSSO -- V. DELLE QUERCE","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=4&Regol=GE","CC9900","0000FF","3"
"3U","U","3","piazzale Vallette - piazza Hermada","PIAZZA HERMADA -- PIAZZALE VALLETTE","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=3&Regol=GE","CC9900","0000FF","2"
"6U","U","6","piazza Hermada - piazza Carlo Felice","PIAZZA CARLO FELICE -- PIAZZA HERMADA","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=6&Regol=GE","FF9900","0000FF","21"
"7U","T","7","circolare Tram Storici, piazza Castello - Porta Nuova","PORTA NUOVA -- PIAZZA CASTELLO","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=7&Regol=OR","33CC00","000000","4"
"9U","U","9","piazza Stampalia - corso Massimo d'Azeglio","CORSO D'AZEGLIO -- PIAZZA STAMPALIA","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=9&Regol=GE","CC9900","0000FF","5"
"10U","U","10","corso Settembrini (feriale)/piazzale Caio Mario (festivo) - piazza Statuto","C. SETTEMBRINI FER./P.CAIO MARIO FEST. -- PIAZZA STATUTO","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=10&Regol=GE","CC9900","0000FF","6"
"15U","U","15","via Brissogne - piazza Coriolano","PIAZZA CORIOLANO -- VIA BRISSOGNE","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=15&Regol=GE","CC9900","0000FF","10"
"16CDU","U","16 CD","circolare destra, piazza Sabotino - piazza della Repubblica - piazza Sabotino","CIRCOLARE DESTRA, PIAZZA SABOTINO -- PIAZZA DELLA REPUBBLICA","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=16CD&Regol=GE","CC9900","0000FF","11"
"16CSU","U","16 CS","circolare sinistra, piazza Sabotino - piazza della Repubblica - piazza Sabotino","CIRCOLARE SINISTRA, PIAZZA SABOTINO -- PIAZZA DELLA REPUBBLICA","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=16CS&Regol=GE","CC9900","0000FF","12"
"79U","T","79","tranvia a cremagliera, piazza G. Modena - Basilica di Superga","BASILICA DI SUPERGA -- SASSI","7","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=79&Regol=OR","33CC00","000000","14"
"13U","U","13","piazza Campanella - piazza Gran Madre","PIAZZA GRAN MADRE -- PIAZZA CAMPANELLA","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=13&Regol=GE","CC9900","0000FF","8"
"102U","U","102","navetta interna Cimitero Parco","NAVETTA CIMITERO PARCO -- NAVETTA CIMITERO PARCO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=102&Regol=OR","FF9900","0000FF","112"
"1068E","E","1068","Collegno - Condove","COLLEGNO - CONDOVE -- COLLEGNO - CONDOVE","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1068&Regol=OR","0080FF","FFFFFF","174"
"1085E","E","1085","Torino - Fiat Rivalta","TORINO - FIAT RIVALTA -- FIAT RIVALTA - TORINO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1085&Regol=OR","0080FF","FFFFFF","175"
"1086E","E","1086","Rivoli - Trana - Giaveno","GIAVENO - TRANA - RIVOLI -- RIVOLI - TRANA - GIAVENO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1086&Regol=OR","0080FF","FFFFFF","176"
"1087E","E","1087","Rivoli - Avigliana - Ferriera","FERRIERA - AVIGLIANA - RIVOLI -- RIVOLI - AVIGLIANA - FERRIERA","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1087&Regol=OR","0080FF","FFFFFF","177"
"1091E","E","1091","Collegno - Rubiana","COLLEGNO - RUBIANA -- COLLEGNO - RUBIANA","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1091&Regol=OR","0080FF","FFFFFF","178"
"1099E","E","1099","Servizio Atipico Chiusa San Michele - Condove","SERVIZIO ATIPICO CHIUSA SAN MICHELE - CONDOVE -- SERVIZIO ATIPICO CONDOVE - CHIUSA SAN MICHELE","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1099&Regol=OR","0080FF","FFFFFF","179"
