"stop_id","stop_city"
"6","Torino"
"7","Torino"
"8","Torino"
"9","Torino"
"10","Torino"
"11","Torino"
"12","Torino"
"13","Torino"
"14","Torino"
"15","Torino"
"16","Torino"
"17","Torino"
"18","Torino"
"19","Torino"
"20","Torino"
"21","Torino"
"22","Torino"
"23","Torino"
"24","Torino"
"25","Torino"
"26","Torino"
"27","Torino"
"28","Torino"
"29","Torino"
"30","Torino"
"31","Torino"
"32","Torino"
"33","Torino"
"34","Moncalieri"
"35","Torino"
"36","Moncalieri"
"37","Moncalieri"
"38","Moncalieri"
"39","Moncalieri"
"40","Torino"
"41","Moncalieri"
"42","Moncalieri"
"43","Moncalieri"
"44","Moncalieri"
"45","Moncalieri"
"46","Moncalieri"
"47","Moncalieri"
"48","Moncalieri"
"49","Moncalieri"
"51","Torino"
"52","Moncalieri"
"54","Moncalieri"
"55","Moncalieri"
"56","Moncalieri"
"57","Moncalieri"
"58","Moncalieri"
"59","Moncalieri"
"61","Moncalieri"
"62","Torino"
"63","Moncalieri"
"64","Moncalieri"
"65","Moncalieri"
"66","Moncalieri"
"67","Moncalieri"
"68","Moncalieri"
"70","Nichelino"
"71","Torino"
"72","Torino"
"73","Torino"
"74","Torino"
"75","Torino"
"76","Nichelino"
"77","Nichelino"
"78","Nichelino"
"79","Nichelino"
"80","Nichelino"
"81","Nichelino"
"82","Nichelino"
"83","Torino"
"84","Nichelino"
"85","Nichelino"
"86","Torino"
"87","Torino"
"88","Torino"
"89","Torino"
"90","Torino"
"91","Torino"
"92","Torino"
"93","Torino"
"94","San Mauro Torinese"
"95","San Mauro Torinese"
"96","Castiglione Torinese"
"97","Torino"
"98","Torino"
"99","Castiglione Torinese"
"100","Castiglione Torinese"
"101","Castiglione Torinese"
"102","Torino"
"103","Gassino Torinese"
"104","Gassino Torinese"
"105","Torino"
"106","Torino"
"107","Nichelino"
"108","Nichelino"
"109","Beinasco"
"110","Beinasco"
"111","Torino"
"112","Beinasco"
"113","Beinasco"
