"timetable_id","stop_id","stop_sequence"
"157","5285","1"
"157","125","2"
"157","2043","3"
"157","2094","4"
"157","2104","5"
"157","2092","6"
"157","5315","7"
"157","2133","8"
"157","7085","9"
"157","5287","10"
"157","2912","11"
"157","2917","12"
"157","5356","13"
"157","5323","14"
"157","5320","15"
"157","7093","16"
"157","5322","17"
"157","5324","18"
"157","5331","20"
"157","5337","21"
"157","5353","22"
"157","7881","23"
"157","5350","24"
"158","5285","1"
"158","125","2"
"158","2043","3"
"158","2094","4"
"158","2104","5"
"158","2092","6"
"158","5315","7"
"158","2133","8"
"158","7085","9"
"158","5287","10"
"158","2912","11"
"158","2917","12"
"158","5356","13"
"158","5323","14"
"158","5320","15"
"158","7093","16"
"158","5322","17"
"158","5324","18"
"158","5331","20"
"158","5337","21"
"158","5353","22"
"158","7881","23"
"158","5350","24"
"159","5285","1"
"159","125","2"
"159","2043","3"
"159","2094","4"
"159","2104","5"
"159","2092","6"
"159","5315","7"
"159","2133","8"
"159","7085","9"
"159","5287","10"
"159","2912","11"
"159","2917","12"
"159","5356","13"
"159","5323","14"
"159","5320","15"
"159","7093","16"
"159","5322","17"
"159","5324","18"
"159","5331","20"
"159","5337","21"
"159","5353","22"
"159","7881","23"
"159","5350","24"
"160","7047","1"
"160","7864","2"
"160","7028","3"
"160","5337","5"
"160","7863","6"
"160","7019","7"
"160","2890","8"
"160","2407","9"
"160","2408","10"
"160","2054","11"
"160","124","12"
"160","5285","13"
"161","7047","1"
"161","7864","2"
"161","7028","3"
"161","5337","5"
"161","7863","6"
"161","7019","7"
"161","2890","8"
"161","2407","9"
"161","2408","10"
"161","2054","11"
"161","124","12"
"161","5285","13"
"162","7047","1"
"162","7864","2"
"162","7028","3"
"162","5337","5"
"162","7863","6"
"162","7019","7"
"162","2890","8"
"162","2407","9"
"162","2408","10"
"162","2054","11"
"162","124","12"
"162","5285","13"
