"vehicle_category_id","vehicle_category_name","seating_capacity","max_capacity","folding_seats","wheelchair_boarding","wheelchair_capacity","wheelchair_spots","bike_boarding","bike_spots","bike_rack_capacity","luggage_boarding","pets_boarding","service_animal_allowed","ac_availability","ac_level","ac_temperature","wifi_availability","usb_charging_availability","vehicle_length","vehicle_width","floor_height","stair_count","vehicle_type_code","contactless_payment_onboard","video_surveillance_availability","passenger_counting_availability"
"0U","CITARO","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"1U","VEICOLO FITTIZIO","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"2U","8m - Urbano medio (=7,5 9mt)","","5","","1","0","","0","","","0","0","0","0","","","0","0","50","","","","3","0","1","0"
"3U","EL - Urbano elettrico","","5","","1","0","","0","","","0","0","0","0","","","0","0","50","","","","3","0","1","0"
"4U","POLLICINO - Urbano corto ( 7,5mt)","","5","","1","0","","0","","","0","0","0","0","","","0","0","50","","","","3","0","1","0"
"5U","S12 - Suburbano lungo (12m)","","5","","1","0","","0","","","0","0","0","0","","","0","0","50","","","","3","0","1","0"
"6U","TRAM 2800","","170","","1","0","","0","","","0","0","0","0","","","0","0","20","","","","0","0","1","0"
"7U","TRAM 5000","","181","","1","0","","0","","","0","0","0","0","","","0","0","22","","","","0","0","1","0"
"8U","TRAM 6000","","197","","1","0","","0","","","0","0","0","0","","","0","0","34","","","","0","0","1","0"
"9U","X16p - Interurbano 15+1 posti","","5","","1","0","","0","","","0","0","0","0","","","0","0","50","","","","3","0","1","0"
"10U","AUTOBUS 12m","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"11U","IRISBUS 491E.18.31 CNG 18 U","","143","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"12U","AUTOBUS 18m","","150","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"13U","IVECO 491 EU102/3p (CURSOR EURO 4) 12 U","","102","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"14U","MERCEDES EVOBUS CONECTO 12 U","","90","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","1","1","1"
"15U","MERCEDES EVOBUS CONECTO CNG 12 U","","90","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","1","1","1"
"16U","MERCEDES EVOBUS CONECTO 18 U","","150","","2","1","","0","","","0","0","0","0","","","0","0","18","","","","3","1","1","1"
"17U","MOTRICE MONODIREZ.ARTICOLATA 7 CASSE 4 CARRELLI","","201","","1","0","","0","","","0","0","0","0","","","0","0","34","","","","0","0","1","0"
"18U","MOTRICE BIDIREZ.ARTICOLATA 7 CASSE 4 CARRELLI","","201","","1","0","","0","","","0","0","0","0","","","0","0","34","","","","0","0","1","0"
"19U","IVECO - Breda Menarini - M240/E3","","90","","1","0","","0","","","0","0","0","0","","","0","0","11","","","","3","0","1","0"
"20U","IRISBUS CITELIS 18m DIESEL EEV 1a serie 18 U","","154","","2","1","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"21U","IVECO CITELIS 12.29 DIESEL EEV 12 U","","105","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"22U","IVECO CROSSWAY LE 12 S","","104","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"23U","IVECO 491 EU106/3p (CURSOR EURO 3) 12 U","","106","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"24U","VAN HOOL AG 300.E3.01 18 U","","156","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"25U","IVECO 591E.12.27 - CITYCLASS 12 S","","99","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"26U","AUTODROMO MAN NL 262F S (VOITH) 12 S","","93","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"27U","IVECO 491E.12.27/U114  4PH 12 U","","114","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"28U","IVECO A50C11","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"29U","VAN HOOL AG 300 DE SIMON URS 33.01 18 U","","152","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"30U","491E 10.27 CNG","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"31U","IRISBUS IVECO 491E 12.24 CNG 12 U","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"32U","IRISBUS 491E.12.27 U94/ F2G CNG 12 U","","94","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"33U","IRISBUS - Cacciamali - 200E- (CANUTO)","","75","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"34U","BYD K9UB ELETTRICO 12 U","","83","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","1","1","1"
"35U","IRIBUS ITALIA 491E.18.31 CNG 18 U","","143","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"36U","EPT CACCIAMALI ELFO ELETTRICO 8 U","","15","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"37U","IRISBUS CITELIS 12.29 DIESEL EEV 12 U","","102","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"38U","IRISBUS CITELIS 18m CNG 18 U","","147","","2","1","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"39U","IRISBUS CITELIS 18m DIESEL EEV 18 U","","167","","2","1","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"40U","BYD K7UB ELETTRICO 8 U","","40","","2","1","","0","","","0","0","0","0","","","0","0","8","","","","3","1","1","1"
"41U","491E.10E24/U97/3P/CNG","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"42U","397E","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"43U","TCI. 972","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"44U","65CNG/70 SITCAR CT11/URTH39 (RT)","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"45U","S 417 UL EURO 4","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"46U","380.12.35 EUROCLASS","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"47U","EURORIDER 391E.12.29","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"48U","100.E.18","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"49U","DALLAVIA TIZIANO 380.12.38","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"50U","IVECO CROSSWAY LE 12 E","","104","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"51U","BMC","","40","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"52U","IRISBUS CROSSWAY LE 12 S","","104","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"53U","IVECO DAILY A40","","14","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"54U","IIA MENARINIBUS CITYMOOD CNG 12","","90","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","1","1","1"
"55U","IVECO URBANWAY CNG 18","","140","","2","1","","0","","","0","0","0","0","","","0","0","18","","","","3","1","1","1"
"56U","IVECO EWAY 12M","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","1","1","1"
"57U","INDCAR BLUEBUS 6M","","35","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"58U","IVECO EWAY 18M","","130","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"59U","IVECO EWAY BRT 18M","","130","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"60U","CITELIS","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"61U","sinergy sdd","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"62U","S 417 UL","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"63U","65c17","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"64U","A50/E4/21/B","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"65U","CYTARO 628","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"66U","M 201/2 NS/85","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"67U","BB 2001","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"68U","M 220 NU","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"69U","200E.8.13/S46","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"70U","M 220/E NS","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"71U","IVECO 49E12 52 POLLICINO 35P","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"72U","65C.1","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"73U","100E 21N","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"74U","MODELLO BANCO DI PROVA","","60","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
"99U","BANCO PROVA","","1","","1","0","","0","","","0","0","0","0","","","0","0","1","","","","3","0","1","0"
"101U","Bus Company - Mercedes Sprinter 6m","","14","","1","0","","0","","","0","0","0","0","","","0","0","7","","","","3","0","1","0"
"102U","Bus Company - Neoman A21 NL 283/2T","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"103U","Bus Company - MAN Lions City NL313 A21 12m","","102","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"104U","Bus Company - MAN Lions City NL313 A21 8m","","40","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"105U","Bus Company - MB CONECTO 3P","","90","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
