"vehicle_id","label","license_plate","vehicle_category_id","onboard_avm_model"
"30U","30","FM688SG","34","Elsag NM200"
"31U","31","FM462SG","34","Elsag NM200"
"32U","32","FM689SG","34","Elsag NM200"
"33U","33","FM692SG","34","Elsag NM200"
"34U","34","FL094PA","34","Elsag NM200"
"35U","35","FM691SG","34","Elsag NM200"
"36U","36","FL095PA","34","Elsag NM200"
"37U","37","FL096PA","34","Elsag NM200"
"38U","38","FM690SG","34","Elsag NM200"
"39U","39","FL097PA","34","Elsag NM200"
"40U","40","FM740HJ","34","Elsag NM200"
"41U","41","FL098PA","34","Elsag NM200"
"42U","42","FM739HJ","34","Elsag NM200"
"43U","43","FM738HJ","34","Elsag NM200"
"44U","44","FM736HJ","34","Elsag NM200"
"45U","45","FM737HJ","34","Elsag NM200"
"46U","46","FM463SG","34","Elsag NM200"
"47U","47","FM464SG","34","Elsag NM200"
"48U","48","FM465SG","34","Elsag NM200"
"49U","49","FM466SG","34","Elsag NM200"
"50U","50","FV021FV","40","Elsag NM200"
"51U","51","FV022FV","40","Elsag NM200"
"52U","52","FV023FV","40","Elsag NM200"
"53U","53","FV024FV","40","Elsag NM200"
"54U","54","FV025FV","40","Elsag NM200"
"55U","55","FV026FV","40","Elsag NM200"
"56U","56","FT045GT","40","Elsag NM200"
"57U","57","FV027FV","40","Elsag NM200"
"60U","60","GY353AA","57","SWARCO NEXT"
"61U","61","GY352AA","57","SWARCO NEXT"
"62U","62","GY351AA","57","SWARCO NEXT"
"63U","63","GY350AA","57","SWARCO NEXT"
"64U","64","GY349AA","57","SWARCO NEXT"
"65U","65","GY348AA","57","SWARCO NEXT"
"66U","66","GY347AA","57","SWARCO NEXT"
"67U","67","GY346AA","57","SWARCO NEXT"
"68U","68","GY345AA","57","SWARCO NEXT"
"69U","69","GY344AA","57","SWARCO NEXT"
"70U","70","GZ692JP","57","SWARCO NEXT"
"71U","71","GZ691JP","57","SWARCO NEXT"
"72U","72","GZ690JP","57","SWARCO NEXT"
"73U","73","GZ689JP","57","SWARCO NEXT"
"74U","74","GZ688JP","57","SWARCO NEXT"
"75U","75","GZ687JP","57","SWARCO NEXT"
"76U","76","GZ685JP","57","SWARCO NEXT"
"77U","77","GZ686JP","57","SWARCO NEXT"
"78U","78","GZ274VL","57","SWARCO NEXT"
"79U","79","GZ684JP","57","SWARCO NEXT"
"80U","80","GZ683JP","57","SWARCO NEXT"
"81U","81","GZ682JP","57","SWARCO NEXT"
"82U","82","82","57","SWARCO NEXT"
"83U","83","83","57","SWARCO NEXT"
"84U","84","84","57","SWARCO NEXT"
"85U","85","85","57","SWARCO NEXT"
"86U","86","86","57","SWARCO NEXT"
"87U","87","87","57","SWARCO NEXT"
"88U","88","88","57","SWARCO NEXT"
"172U","1312","ED463AL","38","Elsag NM200"
"184U","794","ED469AL","20","Elsag NM200"
"210U","5041","5041","5000","Elsag NM200"
"211U","5043","5043","5000","Elsag NM200"
"219U","5046","5046","5000","Elsag NM200"
"224U","5004","5004","5000","Elsag NM200"
"242U","5045","5045","5000","Elsag NM200"
"245U","5039","5039","5000","Elsag NM200"
"249U","5008","5008","5000","Elsag NM200"
"259U","5050","5050","5000","Elsag NM200"
"454U","6003","6003","6001","Elsag NM200"
"457U","6007","6007","6002","Elsag NM200"
"532U","6018","6018","6002","Elsag NM200"
"543U","6021","6021","6002","Elsag NM200"
"755U","55","FV026FV","40","Elsag NM200"
"790U","790","ED465AL","20","Elsag NM200"
"791U","791","ED466AL","20","Elsag NM200"
"793U","793","ED468AL","20","Elsag NM200"
"794U","794","ED469AL","20","Elsag NM200"
"795U","795","ED470AL","20","Elsag NM200"
"796U","796","EN325ZA","20","Elsag NM200"
"797U","797","ED472AL","20","Elsag NM200"
"800U","800","EL255BV","39","Elsag NM200"
"801U","801","EL257BV","39","Elsag NM200"
"802U","802","EL256BV","39","Elsag NM200"
"803U","803","EL590BV","39","Elsag NM200"
"804U","804","EL083YP","39","Elsag NM200"
"805U","805","EL785BV","39","Elsag NM200"
"806U","806","EL084YP","39","Elsag NM200"
"807U","807","EL646YP","39","Elsag NM200"
"808U","808","EL592BV","39","Elsag NM200"
"809U","809","EL085YP","39","Elsag NM200"
"810U","810","EL086YP","39","Elsag NM200"
"811U","811","EL782BV","39","Elsag NM200"
"812U","812","EL784BV","39","Elsag NM200"
"813U","813","EL087YP","39","Elsag NM200"
"814U","814","EL734BV","39","Elsag NM200"
"815U","815","EL783BV","39","Elsag NM200"
"816U","816","EL794BV","39","Elsag NM200"
"817U","817","EL793BV","39","Elsag NM200"
"818U","818","EL653YP","39","Elsag NM200"
"819U","819","EL786BV","39","Elsag NM200"
"820U","820","EL544BV","39","Elsag NM200"
"821U","821","EL543BV","39","Elsag NM200"
"822U","822","EL518BV","39","Elsag NM200"
"823U","823","EL545BV","39","Elsag NM200"
"824U","824","EL593BV","39","Elsag NM200"
