stop_id,stop_name,stop_lat,stop_lon,x,y,snapped_node_id,snap_dist_m,modes_served,routes_served
6,Fermata 10 - RUBIANA,45.07545,7.63915,1392910.59,4992252.47,1946,12.5,BUS,"36, W01"
7,Fermata 100 - TOSCANA,45.09583,7.65728,1394375.25,4994492.66,3230,24.9,BUS,"1085, 2"
8,Fermata 1000 - CIMABUE,45.03807,7.61905,1391257.58,4988126.72,379,27.6,BUS,"12, 40, 58, 98"
8324,Fermata 10001 - FIOCHETTO,45.07641,7.68937,1396865.29,4992293.84,5217,73.9,BUS,"3006, 3092, 3107, 3131, 3133, 3166, 3990, 5135, VEX"
9,Fermata 1001 - INDUNO,45.03665,7.61937,1391280.09,4987968.55,368,15.4,BUS,"12, 40, 98"
10,Fermata 1002 - INDUNO,45.0369,7.61973,1391308.92,4987995.84,368,36.9,BUS,"12, 40, 98"
11,Fermata 1003 - CATTANEO OVEST,45.03575,7.6234,1391595.82,4987863.16,559,18.7,BUS,"12, 40, 98"
12,Fermata 1004 - CATTANEO OVEST,45.03609,7.62343,1391598.82,4987900.89,559,38.4,BUS,"12, 40, 98"
13,Fermata 1005 - CATTANEO EST,45.03512,7.62594,1391794.7,4987789.77,709,31.6,BUS,"1435, 2014, 3106, 3329, 40, 62, 90, 91, 92, 94, 97, 98, 99"
14,Fermata 1006 - CATTANEO EST,45.03538,7.62603,1391802.28,4987818.54,711,18.4,BUS,"1435, 2014, 3106, 3329, 40, 62, 90, 91, 92, 93 /, 94, 95, 96, 97, 98, 99"
15,Fermata 1007 - POMA,45.03372,7.62999,1392111.08,4987628.84,880,36.8,BUS,"2014, 3106, 3329, 40, 62, 90, 91, 92, 93 /, 94, 95, 96, 97, 98, 99"
16,Fermata 1008 - POMA,45.034,7.63013,1392122.64,4987659.76,881,34.8,BUS,"2014, 3106, 3329, 40, 62, 90, 91, 92, 93 /, 94, 95, 96, 97, 98, 99"
17,Fermata 1009 - SIRACUSA,45.03266,7.63317,1392359.58,4987506.85,1233,28.1,BUS,"40, 62, 90, 91, 92, 93 /, 94, 95, 96, 97, 98, 99"
18,Fermata 101 - VALDELLATORRE,45.09477,7.65646,1394308.77,4994375.97,3072,49.5,BUS,2
19,Fermata 1010 - SIRACUSA,45.03266,7.63413,1392435.2,4987505.57,1234,30.6,BUS,"40, 62, 90, 91, 92, 93 /, 94, 95, 96, 97, 98, 99"
8768,Fermata 10100 - STAZIONE STURA,45.1201,7.71089,1398636.56,4997120.2,7529,22.3,BUS,"3131, 3166, 5135"
20,Fermata 1011 - TRAIANO,45.02662,7.63701,1392650.77,4986830.76,1550,31.5,"BUS, TRAM","10, 40, 41, 90, 94, 95 /, 96, 97, 98, 99"
21,Fermata 1012 - CAIO MARIO NORD,45.02408,7.6352,1392503.42,4986551.0,1390,89.6,"BUS, TRAM","10, 1435, 2014, 3106, 3329, 40, 41, 90, 94, 95 /, 96, 97, 98, 99"
22,Fermata 1013 - CAIO MARIO NORD,45.02517,7.63639,1392599.21,4986670.51,1391,38.0,"BUS, TRAM","10, 1435, 3106, 3329, 41, 90, 94, 96, 97, 98, 99"
23,Fermata 1014 - CAIO MARIO EST,45.02213,7.63657,1392607.71,4986332.55,1386,39.6,BUS,"43, 99"
24,Fermata 1015 - CAIO MARIO EST,45.02253,7.63646,1392599.79,4986377.14,1386,17.1,BUS,"1085, 43, 99"
25,Fermata 1016 - CROCE,45.01802,7.64476,1393245.33,4985865.14,2019,27.3,BUS,"43, 99"
