agent_id,start_time,end_time,duration_min,distance_m,nodes_walked,edges_walked,vulnerable
0,Day1 00:20,Day1 01:00,40,2543.3,4891;4889;4888;4886;5047;5045;5044;5207;5204;5203;5200;5197;5194;5189;5030;5029;5027;4857;5023;4630;4629,6240;30192;25984;393;2761;28351;2767;40651;18979;32303;32304;37912;37913;32375;32377;32372;32373;15981;28368;5281,true
1,Day1 00:20,Day1 01:00,40,2423.0,4891;4889;4887;4886;4885;4882;4879;4877;4674;4672;4668;7464;7463;7460;4649;4647;4859;4858;4856;4635;4632;4631;4630;4629,6240;30119;5664;25983;32693;3278;14888;3439;34653;29034;457;20255;26288;4297;15986;1614;34705;20369;20368;20367;20391;20398;5281,false
3,Day1 00:40,Day1 01:20,40,2001.7,3899;3711;3708;3706;3703;3520;3518;3516;3513;3511;3327;3326;3324;3137;3135;2980,21797;21796;11826;41935;41934;35224;35222;35220;35218;35216;38637;38632;38626;24901;41930,false
2,Day1 00:40,Day1 01:20,40,2001.7,3899;3711;3708;3706;3703;3520;3518;3516;3513;3511;3327;3326;3324;3137;3135;2980,21797;21796;11826;41935;41934;35224;35222;35220;35218;35216;38637;38632;38626;24901;41930,true
5,Day1 01:00,Day1 01:40,40,2408.5,6662;6481;6482;6294;6292;6289;6288;6112;6110;6106;6102;6096;6092;6091;7522;7519;6265;6264;6453;6452;6451;6447,6665;20746;293;294;298;10035;637;19446;19448;20761;20760;833;832;27796;27797;3226;3229;2919;38841;38840;8262,false
7,Day1 01:20,Day1 02:00,40,2576.7,5001;4999;4836;4835;4834;4833;4609;4608;4417;7455;4414;4416;4233;4062;4065;4066;3492;3490;3488;3486;3485;3484;3301,33965;20847;6516;42720;42719;42718;42722;25652;25650;3102;17881;3567;19817;2352;2353;1023;26130;26131;26132;26135;32278;32279,false
6,Day1 01:20,Day1 02:00,40,3127.6,5001;4999;4836;4835;4834;4833;4609;4608;4417;7455;4411;7452;4230;4231;4232;4061;4063;3492;3490;3492;3684;3483;3301,33965;20847;6516;42720;42719;42718;42722;25652;25650;2458;17018;34393;42002;26278;7349;2354;40;26130;26130;41999;21583;21180,true
0,Day1 01:40,Day1 02:20,40,2815.1,4629;4630;4631;4633;4637;4647;4649;7460;7463;4658;4656;4659;4663;4666;4668;4672;4674;4877;4879;4882;4885;4886;4888;4889;4891,5281;20398;20396;28786;28785;15986;4297;26288;19413;1616;4374;25223;29031;29032;29034;34653;3439;14888;3278;32693;25983;25984;30192;6240,true
9,Day1 01:40,Day1 02:40,60,3509.1,6736;6734;6733;6729;6728;6725;6724;6542;6722;6721;7548;6882;6881;6880;6879;6718;6720;6541,25034;10586;37422;37431;37433;10591;10595;16876;3124;16881;15;16026;16027;31668;25602;25599;30911,false
8,Day1 01:40,Day1 02:40,60,4144.6,6736;6734;6733;6729;6728;6725;6724;6723;6722;6721;7548;6882;6881;6880;6879;6715;6713;6711;6709;6708;6536;7533;6539;6355;6541,25034;10586;37422;37431;37433;10591;37354;37353;3124;16881;15;16026;16027;31668;35328;35331;35332;2362;3297;16716;41790;41791;41797;20246,true
4,Day1 01:00,Day1 02:40,100,7510.7,6662;6661;6659;6658;6655;6650;6479;6480;6289;6290;5941;5940;5939;5744;5563;5562;5365;5552;5551;5546;5544;5540;5345;5338;5332;5175;5174;7480;5321;5320;5319;5515;5519;5521;5522;5712;5709;5913;6089;6091;7522;7519;6265;6264;6453;6452;6451;6447,29826;9148;28341;299;300;1405;28338;28337;44017;44016;163;32603;28335;28334;28333;1889;14667;15946;15947;6303;16034;4343;67;89;33827;33828;14529;32080;93;11196;44076;44077;44078;44081;28179;7550;466;1566;16513;27796;27797;3226;3229;2919;38841;38840;8262,true
11,Day1 02:00,Day1 02:40,40,2246.6,2243;2047;2046;2234;2043;2042;1865;1864;1861;1696;1695;7253;1542;1541;1388;7221;1220;1385;1383,30899;14572;17917;14651;23218;20072;22422;23223;23221;17914;18346;41712;41714;41758;43075;43074;1995;25334,false
10,Day1 02:00,Day1 02:40,40,2246.6,2243;2047;2046;2234;2043;2042;1865;1864;1861;1696;1695;7253;1542;1541;1388;7221;1220;1385;1383,30899;14572;17917;14651;23218;20072;22422;23223;23221;17914;18346;41712;41714;41758;43075;43074;1995;25334,true
13,Day1 02:20,Day1 03:00,40,2698.4,3977;3976;7435;7398;3406;3221;3220;3222;7348;2909;2904;2900;2899;2897;2894;2683;2681;2679;2514;2512,33406;7340;27017;30941;30974;31315;30971;7686;30376;1125;25918;25917;25916;635;20137;18292;26567;26569;42936,false
12,Day1 02:20,Day1 03:00,40,2615.8,3977;3976;7435;7398;3405;3404;3219;3218;3068;2909;2904;2900;2899;2897;2894;2683;2681;2679;2514;2512,33406;7340;27017;4898;30935;30386;30384;30382;30381;1125;25918;25917;25916;635;20137;18292;26567;26569;42936,true
1,Day1 02:20,Day1 03:00,40,2443.9,4629;4630;4631;4633;4637;4647;4649;7460;7463;4664;4670;4671;4672;4674;4877;4879;4880;4883;4887;4889;4891,5281;20398;20396;28786;28785;15986;4297;26288;21194;1893;412;17768;34653;3439;14888;3357;51;6600;30119;6240,false
5,Day1 02:40,Day1 03:20,40,2549.7,6447;6451;6452;6453;6264;6265;7519;7522;6091;6092;6096;6278;6279;6280;6281;6471;6477;6478;6479;6656;6658;6659;6661;6662,8262;38840;38841;2919;3229;3226;27797;27796;832;833;42776;42774;42772;285;286;36605;31440;31439;28339;28340;28341;9148;29826,false
2,Day1 02:40,Day1 03:20,40,2036.3,2980;3135;3137;3324;3326;3328;3331;3514;3517;3519;3521;3705;3707;3709;3712;3898;3899,41930;24901;38626;38632;38638;41946;41944;41942;41940;41938;21512;21511;11823;41950;41949;11439,true
14,Day1 02:40,Day1 03:40,60,3647.1,5149;5152;5156;5159;4998;4997;4996;4995;4832;4831;4828;4829;4605;4606;4411;4409;4407;4406;4404;4220;4221;4037;4035,39046;39603;13233;28347;28346;8873;3830;24088;24089;29426;3910;2171;175;108;42003;2468;22372;22376;28366;1854;17998;36643,true
17,Day1 03:00,Day1 03:40,40,2895.6,5714;5713;5710;5707;5705;5703;5701;5699;5506;5302;5301;5300;5299;5500;5499;5493;5494,4973;28185;34737;465;22883;22882;27788;27789;3372;28192;28193;28194;28195;21301;21302;24062,false
